Time,CORE_ZN:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_ZN:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_ZN::Des Latent Heat Load [W],CORE_ZN::Des Latent Cool Load [W],CORE_ZN::Des Latent Heat Mass Flow [kg/s],CORE_ZN::Des Latent Cool Mass Flow [kg/s],CORE_ZN::Des Heat Load No DOAS [W],CORE_ZN::Des Sens Cool Load No DOAS [W],CORE_ZN::Des Latent Heat Load No DOAS [W],CORE_ZN::Des Latent Cool Load No DOAS [W],CORE_ZN:CHICAGO ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],CORE_ZN:CHICAGO ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],CORE_ZN:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Cooling Zone Temperature [C],CORE_ZN:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Cooling Zone Relative Humidity [%],PERIMETER_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1::Des Latent Heat Load [W],PERIMETER_ZN_1::Des Latent Cool Load [W],PERIMETER_ZN_1::Des Latent Heat Mass Flow [kg/s],PERIMETER_ZN_1::Des Latent Cool Mass Flow [kg/s],PERIMETER_ZN_1::Des Heat Load No DOAS [W],PERIMETER_ZN_1::Des Sens Cool Load No DOAS [W],PERIMETER_ZN_1::Des Latent Heat Load No DOAS [W],PERIMETER_ZN_1::Des Latent Cool Load No DOAS [W],PERIMETER_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],PERIMETER_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],PERIMETER_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Cooling Zone Temperature [C],PERIMETER_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Cooling Zone Relative Humidity [%],PERIMETER_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2::Des Latent Heat Load [W],PERIMETER_ZN_2::Des Latent Cool Load [W],PERIMETER_ZN_2::Des Latent Heat Mass Flow [kg/s],PERIMETER_ZN_2::Des Latent Cool Mass Flow [kg/s],PERIMETER_ZN_2::Des Heat Load No DOAS [W],PERIMETER_ZN_2::Des Sens Cool Load No DOAS [W],PERIMETER_ZN_2::Des Latent Heat Load No DOAS [W],PERIMETER_ZN_2::Des Latent Cool Load No DOAS [W],PERIMETER_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],PERIMETER_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],PERIMETER_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Cooling Zone Temperature [C],PERIMETER_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Cooling Zone Relative Humidity [%],PERIMETER_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3::Des Latent Heat Load [W],PERIMETER_ZN_3::Des Latent Cool Load [W],PERIMETER_ZN_3::Des Latent Heat Mass Flow [kg/s],PERIMETER_ZN_3::Des Latent Cool Mass Flow [kg/s],PERIMETER_ZN_3::Des Heat Load No DOAS [W],PERIMETER_ZN_3::Des Sens Cool Load No DOAS [W],PERIMETER_ZN_3::Des Latent Heat Load No DOAS [W],PERIMETER_ZN_3::Des Latent Cool Load No DOAS [W],PERIMETER_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],PERIMETER_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],PERIMETER_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Cooling Zone Temperature [C],PERIMETER_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Cooling Zone Relative Humidity [%],PERIMETER_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4::Des Latent Heat Load [W],PERIMETER_ZN_4::Des Latent Cool Load [W],PERIMETER_ZN_4::Des Latent Heat Mass Flow [kg/s],PERIMETER_ZN_4::Des Latent Cool Mass Flow [kg/s],PERIMETER_ZN_4::Des Heat Load No DOAS [W],PERIMETER_ZN_4::Des Sens Cool Load No DOAS [W],PERIMETER_ZN_4::Des Latent Heat Load No DOAS [W],PERIMETER_ZN_4::Des Latent Cool Load No DOAS [W],PERIMETER_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],PERIMETER_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],PERIMETER_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Cooling Zone Temperature [C],PERIMETER_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Cooling Zone Relative Humidity [%]
00:10:00,4.341381E+03,9.466256E+02,2.239827E-01,7.305613E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099201E+01,4.052704E+01,2.669512E+01,5.407053E+01,5.725722E+03,8.157618E+02,2.954404E-01,6.246063E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099434E+01,4.571732E+01,2.669603E+01,5.034982E+01,3.608130E+03,5.868199E+02,1.861707E-01,4.528695E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546737E+01,2.669553E+01,5.002051E+01,5.493357E+03,7.862048E+02,2.834505E-01,6.019740E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099433E+01,4.553368E+01,2.669604E+01,5.060957E+01,3.604589E+03,7.052095E+02,1.859880E-01,5.442467E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546289E+01,2.669530E+01,4.877705E+01
00:20:00,4.341410E+03,9.573295E+02,2.239841E-01,7.388299E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099201E+01,4.052709E+01,2.669513E+01,5.408746E+01,5.725745E+03,8.216768E+02,2.954416E-01,6.291404E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099434E+01,4.571733E+01,2.669604E+01,5.036428E+01,3.608145E+03,5.908386E+02,1.861715E-01,4.559743E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546739E+01,2.669555E+01,4.998086E+01,5.493380E+03,7.935200E+02,2.834517E-01,6.075801E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099433E+01,4.553370E+01,2.669605E+01,5.062527E+01,3.604604E+03,7.093230E+02,1.859888E-01,5.474246E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546291E+01,2.669534E+01,4.869987E+01
00:30:00,4.341438E+03,9.658552E+02,2.239856E-01,7.454155E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099201E+01,4.052713E+01,2.669510E+01,5.406344E+01,5.725766E+03,8.254937E+02,2.954427E-01,6.320663E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099434E+01,4.571735E+01,2.669603E+01,5.035233E+01,3.608159E+03,5.933478E+02,1.861722E-01,4.579129E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546740E+01,2.669556E+01,4.992098E+01,5.493402E+03,7.987693E+02,2.834528E-01,6.116031E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099433E+01,4.553372E+01,2.669604E+01,5.061234E+01,3.604618E+03,7.117285E+02,1.859895E-01,5.492829E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546293E+01,2.669537E+01,4.861117E+01
00:40:00,4.341464E+03,9.725462E+02,2.239869E-01,7.505834E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099201E+01,4.052718E+01,2.669508E+01,5.400585E+01,5.725787E+03,8.275570E+02,2.954438E-01,6.336484E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099434E+01,4.571736E+01,2.669603E+01,5.031914E+01,3.608172E+03,5.946019E+02,1.861729E-01,4.588818E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546742E+01,2.669559E+01,4.984599E+01,5.493423E+03,8.022782E+02,2.834539E-01,6.142922E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099433E+01,4.553373E+01,2.669603E+01,5.057623E+01,3.604632E+03,7.127155E+02,1.859902E-01,5.500450E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546294E+01,2.669542E+01,4.851499E+01
00:50:00,4.341490E+03,9.776895E+02,2.239883E-01,7.545553E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099201E+01,4.052722E+01,2.669509E+01,5.392116E+01,5.725808E+03,8.281508E+02,2.954448E-01,6.341042E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099434E+01,4.571738E+01,2.669605E+01,5.026920E+01,3.608185E+03,5.948091E+02,1.861736E-01,4.590419E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546743E+01,2.669562E+01,4.976015E+01,5.493443E+03,8.043170E+02,2.834550E-01,6.158546E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099433E+01,4.553375E+01,2.669604E+01,5.052166E+01,3.604645E+03,7.125195E+02,1.859909E-01,5.498932E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546296E+01,2.669546E+01,4.841447E+01
01:00:00,4.341515E+03,9.815232E+02,2.239896E-01,7.575151E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099201E+01,4.052726E+01,2.669510E+01,5.381477E+01,5.725827E+03,8.275089E+02,2.954458E-01,6.336128E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099434E+01,4.571739E+01,2.669607E+01,5.020619E+01,3.608198E+03,5.941399E+02,1.861742E-01,4.585249E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546745E+01,2.669566E+01,4.966675E+01,5.493463E+03,8.051102E+02,2.834560E-01,6.164624E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099433E+01,4.553376E+01,2.669606E+01,5.045258E+01,3.604658E+03,7.113339E+02,1.859915E-01,5.489768E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546297E+01,2.669552E+01,4.831193E+01
01:10:00,4.341539E+03,9.871578E+02,2.239908E-01,7.618637E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099201E+01,4.052731E+01,2.669512E+01,5.369118E+01,5.725844E+03,8.280761E+02,2.954467E-01,6.340465E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099434E+01,4.571740E+01,2.669610E+01,5.013311E+01,3.608209E+03,5.940790E+02,1.861748E-01,4.584769E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546746E+01,2.669571E+01,4.956835E+01,5.493480E+03,8.070826E+02,2.834569E-01,6.179723E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099433E+01,4.553378E+01,2.669608E+01,5.037221E+01,3.604669E+03,7.106674E+02,1.859921E-01,5.484604E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546299E+01,2.669558E+01,4.820905E+01
01:20:00,4.341563E+03,9.920807E+02,2.239920E-01,7.656630E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099201E+01,4.052735E+01,2.669515E+01,5.356061E+01,5.725861E+03,8.279792E+02,2.954476E-01,6.339716E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099434E+01,4.571742E+01,2.669613E+01,5.005673E+01,3.608220E+03,5.935346E+02,1.861753E-01,4.580555E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546748E+01,2.669575E+01,4.947199E+01,5.493497E+03,8.083566E+02,2.834577E-01,6.189474E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099433E+01,4.553379E+01,2.669611E+01,5.028764E+01,3.604679E+03,7.094388E+02,1.859927E-01,5.475101E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546300E+01,2.669563E+01,4.811228E+01
01:30:00,4.341585E+03,9.964026E+02,2.239932E-01,7.689977E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099201E+01,4.052739E+01,2.669517E+01,5.342514E+01,5.725877E+03,8.273320E+02,2.954484E-01,6.334751E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099434E+01,4.571743E+01,2.669616E+01,4.997835E+01,3.608230E+03,5.925906E+02,1.861759E-01,4.573256E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546749E+01,2.669580E+01,4.937827E+01,5.493513E+03,8.090436E+02,2.834586E-01,6.194726E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099433E+01,4.553380E+01,2.669614E+01,5.020037E+01,3.604690E+03,7.077437E+02,1.859932E-01,5.461997E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546301E+01,2.669569E+01,4.802144E+01
01:40:00,4.341607E+03,1.000231E+03,2.239943E-01,7.719513E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099201E+01,4.052743E+01,2.669521E+01,5.328645E+01,5.725893E+03,8.262442E+02,2.954492E-01,6.326408E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099434E+01,4.571744E+01,2.669619E+01,4.989901E+01,3.608240E+03,5.913255E+02,1.861764E-01,4.563477E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546750E+01,2.669585E+01,4.928762E+01,5.493529E+03,8.092505E+02,2.834594E-01,6.196299E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099433E+01,4.553382E+01,2.669617E+01,5.011158E+01,3.604700E+03,7.056706E+02,1.859937E-01,5.445974E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546303E+01,2.669575E+01,4.793627E+01
01:50:00,4.341629E+03,1.003657E+03,2.239954E-01,7.745938E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099201E+01,4.052747E+01,2.669524E+01,5.314589E+01,5.725908E+03,8.248083E+02,2.954500E-01,6.315399E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099434E+01,4.571745E+01,2.669623E+01,4.981953E+01,3.608250E+03,5.898052E+02,1.861769E-01,4.551728E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546751E+01,2.669589E+01,4.920026E+01,5.493544E+03,8.090683E+02,2.834602E-01,6.194890E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099433E+01,4.553383E+01,2.669620E+01,5.002223E+01,3.604710E+03,7.032941E+02,1.859942E-01,5.427610E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546304E+01,2.669580E+01,4.785643E+01
02:00:00,4.341650E+03,1.006758E+03,2.239965E-01,7.769848E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099201E+01,4.052751E+01,2.669528E+01,5.300452E+01,5.725923E+03,8.231032E+02,2.954508E-01,6.302327E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099434E+01,4.571746E+01,2.669627E+01,4.974052E+01,3.608259E+03,5.880855E+02,1.861774E-01,4.538439E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546753E+01,2.669594E+01,4.911631E+01,5.493559E+03,8.085742E+02,2.834609E-01,6.191093E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099433E+01,4.553384E+01,2.669624E+01,4.993306E+01,3.604719E+03,7.006774E+02,1.859947E-01,5.407392E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546305E+01,2.669585E+01,4.778159E+01
02:10:00,4.341670E+03,1.009435E+03,2.239975E-01,7.790493E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099201E+01,4.052755E+01,2.669532E+01,5.286319E+01,5.725937E+03,8.210455E+02,2.954515E-01,6.286555E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099434E+01,4.571747E+01,2.669631E+01,4.966248E+01,3.608269E+03,5.861203E+02,1.861779E-01,4.523256E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546754E+01,2.669599E+01,4.903580E+01,5.493573E+03,8.076952E+02,2.834617E-01,6.184346E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099433E+01,4.553385E+01,2.669628E+01,4.984463E+01,3.604728E+03,6.977807E+02,1.859952E-01,5.385014E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546306E+01,2.669591E+01,4.771137E+01
02:20:00,4.341689E+03,1.011745E+03,2.239986E-01,7.808299E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099201E+01,4.052759E+01,2.669536E+01,5.272579E+01,5.725951E+03,8.186886E+02,2.954522E-01,6.268491E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099434E+01,4.571749E+01,2.669634E+01,4.958787E+01,3.608277E+03,5.839473E+02,1.861783E-01,4.506470E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546755E+01,2.669604E+01,4.896119E+01,5.493587E+03,8.064847E+02,2.834624E-01,6.175062E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099433E+01,4.553386E+01,2.669631E+01,4.975957E+01,3.604737E+03,6.946471E+02,1.859956E-01,5.360809E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546307E+01,2.669595E+01,4.764805E+01
02:30:00,4.341709E+03,1.013735E+03,2.239995E-01,7.823628E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099201E+01,4.052762E+01,2.669540E+01,5.259235E+01,5.725964E+03,8.160783E+02,2.954529E-01,6.248486E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099434E+01,4.571750E+01,2.669638E+01,4.951665E+01,3.608286E+03,5.815989E+02,1.861788E-01,4.488330E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546756E+01,2.669608E+01,4.889197E+01,5.493600E+03,8.049890E+02,2.834631E-01,6.163592E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099433E+01,4.553388E+01,2.669635E+01,4.967788E+01,3.604746E+03,6.913137E+02,1.859961E-01,5.335062E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546308E+01,2.669600E+01,4.759079E+01
02:40:00,4.341727E+03,1.015443E+03,2.240005E-01,7.836791E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099201E+01,4.052766E+01,2.669544E+01,5.246284E+01,5.725977E+03,8.132537E+02,2.954536E-01,6.226841E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099434E+01,4.571751E+01,2.669642E+01,4.944874E+01,3.608294E+03,5.791024E+02,1.861792E-01,4.469048E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546757E+01,2.669612E+01,4.882769E+01,5.493613E+03,8.032477E+02,2.834637E-01,6.150242E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099433E+01,4.553389E+01,2.669639E+01,4.959955E+01,3.604754E+03,6.878120E+02,1.859965E-01,5.308017E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546309E+01,2.669604E+01,4.753888E+01
